Country,Query,Status,Match,Notes,ISO,Country.Name,WHO_Region
Eswatini (Swaziland),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,No: GAI Misses Information,,SWZ,Eswatini,AFRO
Ethiopia,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,ETH,Ethiopia,AFRO
Ethiopia,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,ETH,Ethiopia,AFRO
Fiji,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,FJI,Fiji,WPRO
Fiji,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,FJI,Fiji,WPRO
Finland,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,FIN,Finland,EURO
Finland,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,FIN,Finland,EURO
France,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,FRA,France,EURO
France,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,FRA,France,EURO
Gabon,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,GAB,Gabon,AFRO
Gabon,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,GAB,Gabon,AFRO
Gambia (Republic of The),1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,GMB,Gambia,AFRO
Gambia (Republic of The),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,GMB,Gambia,AFRO
Georgia,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,GEO,Georgia,EURO
Georgia,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,GEO,Georgia,EURO
Germany,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,DEU,Germany,EURO
Germany,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",New document identified - suggest including,No: GAI Provides More Information,,DEU,Germany,EURO
Germany,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,DEU,Germany,EURO
Germany,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,DEU,Germany,EURO
Ghana,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,GHA,Ghana,AFRO
Ghana,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,GHA,Ghana,AFRO
Greece,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,GRC,Greece,EURO
Greece,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,GRC,Greece,EURO
Grenada,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,GRD,Grenada,AMRO
Grenada,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,GRD,Grenada,AMRO
Guatemala,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,GTM,Guatemala,AMRO
Guatemala,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,GTM,Guatemala,AMRO
Guinea,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,No: GAI Misses Information,,GIN,Guinea,AFRO
Guinea,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,No: GAI Misses Information,,GIN,Guinea,AFRO
Guinea Bissau,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,GNB,Guinea-Bissau,AFRO
Guinea Bissau,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,GNB,Guinea-Bissau,AFRO
Guyana,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,GUY,Guyana,AMRO
Guyana,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,GUY,Guyana,AMRO
Haiti,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,HTI,Haiti,AMRO
Haiti,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,HTI,Haiti,AMRO
Holy See (Vatican City),1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,VAT,NA,NA
Holy See (Vatican City),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,VAT,NA,NA
Honduras,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,HND,Honduras,AMRO
Honduras,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,HND,Honduras,AMRO
Hungary,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,HUN,Hungary,EURO
Hungary,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,HUN,Hungary,EURO
Iceland,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,ISL,Iceland,EURO
Iceland,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,ISL,Iceland,EURO
India,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,IND,India,SEARO
India,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,IND,India,SEARO
Indonesia,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No: GAI Misses Information,,IDN,Indonesia,SEARO
Indonesia,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",New document identified - suggest excluding,No: GAI Provides Incorrect Information,only for covid,IDN,Indonesia,SEARO
Iran (Islamic Republic of),1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,No: GAI Misses Information,,IRN,Iran (Islamic Republic of),EMRO
Iran (Islamic Republic of),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,No: GAI Misses Information,,IRN,Iran (Islamic Republic of),EMRO
Iraq,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,No: GAI Misses Information,,IRQ,Iraq,EMRO
Iraq,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,No: GAI Misses Information,,IRQ,Iraq,EMRO
Ireland,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,IRL,Ireland,EURO
Ireland,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,IRL,Ireland,EURO
Israel,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,ISR,Israel,EURO
Israel,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,ISR,Israel,EURO
Italy,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,ITA,Italy,EURO
Italy,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",New document identified - suggest excluding,No: GAI Provides Incorrect Information,covid only,ITA,Italy,EURO
Jamaica,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,JAM,Jamaica,AMRO
Jamaica,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,JAM,Jamaica,AMRO
Japan,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,JPN,Japan,WPRO
