Country,Query,Status,Match,Notes,ISO,Country.Name,WHO_Region
Philippines,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,PHL,Philippines,WPRO
Philippines,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,PHL,Philippines,WPRO
Poland,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,POL,Poland,EURO
Poland,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,POL,Poland,EURO
Portugal,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,PRT,Portugal,EURO
Portugal,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,PRT,Portugal,EURO
Qatar,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,QAT,Qatar,EMRO
Qatar,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,QAT,Qatar,EMRO
Republic of Korea (South Korea; ROK),1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No: GAI Misses Information,"Information is out of date - law last updated in December 2023, refers to information from the 2015 update. Very confusing at first",KOR,Republic of Korea,WPRO
Republic of Korea (South Korea; ROK),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,KOR,Republic of Korea,WPRO
Republic of Moldova,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,MDA,Republic of Moldova,EURO
Republic of Moldova,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,MDA,Republic of Moldova,EURO
Romania,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No: GAI Misses Information,,ROU,Romania,EURO
Romania,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,ROU,Romania,EURO
Russian Federation,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,RUS,Russian Federation,EURO
Russian Federation,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,No: GAI Provides Incorrect Information,"Theoretically, individual regional authorities could mandate one, but it hasn't been done and there isn't a federal law stating this, just some plans for covid",RUS,Russian Federation,EURO
Rwanda,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,RWA,Rwanda,AFRO
Rwanda,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,RWA,Rwanda,AFRO
Saint Kitts and Nevis (St Kitts and Nevis),1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No: GAI Misses Information,,KNA,Saint Kitts and Nevis,AMRO
Saint Kitts and Nevis (St Kitts and Nevis),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,No: GAI Misses Information,,KNA,Saint Kitts and Nevis,AMRO
Saint Lucia (St Lucia),1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,LCA,Saint Lucia,AMRO
Saint Lucia (St Lucia),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,LCA,Saint Lucia,AMRO
Saint Vincent and the Grenadines (St Vincent and the Grenadines),1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,VCT,Saint Vincent and the Grenadines,AMRO
Saint Vincent and the Grenadines (St Vincent and the Grenadines),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,VCT,Saint Vincent and the Grenadines,AMRO
Samoa,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No: GAI Provides Incorrect Information,"Incorrect name - provides the nickname for the law, which makes it impossible to find ",WSM,Samoa,WPRO
Samoa,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,WSM,Samoa,WPRO
San Marino,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,SMR,San Marino,EURO
San Marino,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,No: GAI Provides Incorrect Information,,SMR,San Marino,EURO
São Tomé and Príncipe,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,STP,Sao Tome and Principe,AFRO
São Tomé and Príncipe,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,STP,Sao Tome and Principe,AFRO
Saudi Arabia,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,No: GAI Misses Information,,SAU,Saudi Arabia,EMRO
Saudi Arabia,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,SAU,Saudi Arabia,EMRO
Senegal,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,SEN,Senegal,AFRO
Senegal,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,SEN,Senegal,AFRO
Serbia,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,SRB,Serbia,EURO
Serbia,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,SRB,Serbia,EURO
Seychelles,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,SYC,Seychelles,AFRO
Seychelles,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,No: GAI Provides More Information,,SYC,Seychelles,AFRO
Sierra Leone,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,SLE,Sierra Leone,AFRO
Sierra Leone,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,No: GAI Misses Information,,SLE,Sierra Leone,AFRO
Singapore,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,SGP,Singapore,WPRO
Singapore,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,SGP,Singapore,WPRO
Slovakia,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,SVK,Slovakia,EURO
Slovakia,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,SVK,Slovakia,EURO
Solomon Islands,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,SLB,Solomon Islands,WPRO
Solomon Islands,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,SLB,Solomon Islands,WPRO
Somalia,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,No: GAI Provides Incorrect Information,,SOM,Somalia,EMRO
Somalia,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,SOM,Somalia,EMRO
South Africa,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,ZAF,South Africa,AFRO
South Africa,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,ZAF,South Africa,AFRO
South Sudan,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,SSD,South Sudan,AFRO
South Sudan,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,SSD,South Sudan,AFRO
Spain,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,ESP,Spain,EURO
Spain,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,ESP,Spain,EURO
Sri Lanka,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,LKA,Sri Lanka,SEARO
Sri Lanka,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,No: GAI Provides Incorrect Information,,LKA,Sri Lanka,SEARO
Sudan,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,No: GAI Misses Information,,SDN,Sudan,EMRO
Sudan,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,SDN,Sudan,EMRO
Suriname,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,SUR,Suriname,AMRO
Suriname,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,SUR,Suriname,AMRO
Sweden,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,SWE,Sweden,EURO
Sweden,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,SWE,Sweden,EURO
Switzerland,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,CHE,Switzerland,EURO
Switzerland,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",New document identified - suggest excluding,No: GAI Provides Incorrect Information,Mandatory vaccinations only for certain occupations,CHE,Switzerland,EURO
Syrian Arab Republic (Syria),1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,SYR,Syrian Arab Republic,EMRO
Syrian Arab Republic (Syria),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,SYR,Syrian Arab Republic,EMRO
Tajikistan,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,TJK,Tajikistan,EURO
Tajikistan,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,TJK,Tajikistan,EURO
Thailand,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No: GAI Misses Information,,THA,Thailand,SEARO
Thailand,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,THA,Thailand,SEARO
Timor-Leste,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,TLS,Timor-Leste,SEARO
Timor-Leste,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,TLS,Timor-Leste,SEARO
Togo,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No: GAI Misses Information,,TGO,Togo,AFRO
Togo,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,No: GAI Misses Information,,TGO,Togo,AFRO
Tonga,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No: GAI Provides Incorrect Information,,TON,Tonga,WPRO
Tonga,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,TON,Tonga,WPRO
Trinidad and Tobago,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,TTO,Trinidad and Tobago,AMRO
Trinidad and Tobago,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,TTO,Trinidad and Tobago,AMRO
Tunisia,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,TUN,Tunisia,EMRO
Tunisia,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",New document identified - suggest excluding,No: GAI Provides Incorrect Information,decree only for covid,TUN,Tunisia,EMRO
Türkiye (Turkey),1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,TUR,Turkey,EURO
Türkiye (Turkey),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",New document identified - suggest excluding,No: GAI Provides Incorrect Information,States that a repealed law on Smallpox is still enforceable,TUR,Turkey,EURO
Turkmenistan,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,TKM,Turkmenistan,EURO
Turkmenistan,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,TKM,Turkmenistan,EURO
Tuvalu,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,TUV,Tuvalu,WPRO
Tuvalu,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,TUV,Tuvalu,WPRO
Uganda,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,UGA,Uganda,AFRO
Uganda,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,UGA,Uganda,AFRO
Ukraine,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,UKR,Ukraine,EURO
Ukraine,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,UKR,Ukraine,EURO
United Arab Emirates (UAE),1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,ARE,United Arab Emirates,EMRO
United Arab Emirates (UAE),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,No: GAI Provides Incorrect Information,,ARE,United Arab Emirates,EMRO
United Kingdom of Great Britain and Northern Ireland (UK),1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,GBR,United Kingdom of Great Britain and Northern Ireland,EURO
United Kingdom of Great Britain and Northern Ireland (UK),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,GBR,United Kingdom of Great Britain and Northern Ireland,EURO
United Republic of Tanzania,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No: GAI Misses Information,,TZA,United Republic of Tanzania,AFRO
United Republic of Tanzania,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,No: GAI Misses Information,,TZA,United Republic of Tanzania,AFRO
United States of America (USA),1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No: GAI Provides Incorrect Information,,USA,United States of America,AMRO
United States of America (USA),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,USA,United States of America,AMRO
Uruguay,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,URY,Uruguay,AMRO
Uruguay,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,URY,Uruguay,AMRO
Uzbekistan,1. Is there a law that requires routine childhood vaccination in ? ,New document identified - suggest excluding,No: GAI Provides Incorrect Information,,UZB,Uzbekistan,EURO
Uzbekistan,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,UZB,Uzbekistan,EURO
Vanuatu,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,VUT,Vanuatu,WPRO
Vanuatu,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,VUT,Vanuatu,WPRO
Venezuela (Bolivarian Republic of),1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No: GAI Misses Information,,VEN,Venezuela (Bolivarian Republic of),AMRO
Venezuela (Bolivarian Republic of),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,No: GAI Misses Information,,VEN,Venezuela (Bolivarian Republic of),AMRO
Viet Nam (Vietnam),1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,VNM,Viet Nam,WPRO
Viet Nam (Vietnam),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,VNM,Viet Nam,WPRO
Yemen,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,YEM,Yemen,EMRO
Yemen,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,No: GAI Misses Information,,YEM,Yemen,EMRO
Zambia,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No: GAI Misses Information,,ZMB,Zambia,AFRO
Zambia,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,No: GAI Misses Information,,ZMB,Zambia,AFRO
Zimbabwe,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,ZWE,Zimbabwe,AFRO
Zimbabwe,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,ZWE,Zimbabwe,AFRO
